GEN,CPU,P1_Generation,P1_E,P1_Mu,P1_Lambda,P1_Tau,P1_Sigma,P1_EvalCount,P1_DuplicateCount,P1_CacheCount,P1_OpUse_singleParameterAlterationMutation,P1_MAB_singleParameterAlterationMutation,P1_OpUse_onePointCrossover,P1_MAB_onePointCrossover,P1_OpUse_twoPointCrossover,P1_MAB_twoPointCrossover,P1_AvgAge,P1_AvgIndSize,P1_Avg_f0,P1_Avg_f1,P1_Avg_f2,P1_Best_f0,P1_Best_f1,P1_Best_f2,P1_Worst_f0,P1_Worst_f1,P1_Worst_f2
0,0,0,6.9275,30,20,1,0.9,50,0,0,0,0,0,0,0,0,0,164,0.00857143,1.06964e-05,0.0027619,0.214286,0.00027027,0.0714286,0,0,0
1,157,1,6.82687,30,20,1,0.811,75,0,8,7,0.568452,7,0.3392,6,0.474163,0.966667,164,0.0142857,1.78274e-05,0.00460317,0.214286,0.00027027,0.0714286,0,0,0
2,222,2,6.77626,30,20,1,0.8289,106,0,9,8,0.598152,0,0.3392,12,0.652379,1.8,164,0.0428571,5.37712e-05,0.0139683,0.214286,0.000273224,0.0714286,0,0,0
3,283,3,6.72431,30,20,1,0.84501,135,1,15,4,0.625333,11,0.570084,5,0.650551,2.56667,164,0.0642857,8.0706e-05,0.0209524,0.214286,0.000273224,0.0714286,0,0,0
4,344,4,6.50311,30,20,1,0.859509,164,1,16,10,0,3,0,7,0.711916,2.63333,164,0.132063,0.000161793,0.0420635,0.266667,0.000273224,0.0714286,0,0,0
5,395,5,6.15351,30,20,1,0.872558,188,2,22,9,0.864142,9,0.793951,2,0.735302,2,164,0.226071,0.000269524,0.0696825,0.3125,0.00026738,0.0666667,0.214286,0.00026455,0.0666667
6,460,6,6.12916,30,20,1,0.884302,219,2,22,9,0.813873,7,0.794251,4,0.770029,2.13333,164,0.233056,0.000271852,0.0704762,0.3125,0.00026738,0.0666667,0.214286,0.00027027,0.0714286
7,517,7,6.20876,30,20,1,0.894872,246,2,27,8,0.784685,7,0.810508,5,0.797329,2.16667,164,0.248115,0.000271957,0.0696825,0.3125,0.00027027,0.0666667,0.214286,0.000273224,0.0714286
8,590,8,6.13836,30,20,1,0.904385,281,2,29,3,0.766195,7,0.812848,10,0.82578,1.86667,164,0.281944,0.000270681,0.0685714,0.3125,0.00027027,0.0666667,0.266667,0.00027027,0.0666667
9,653,9,6.16701,30,20,1,0.912946,311,3,38,0,0.766195,8,0.809937,12,0.843831,2.06667,164,0.294167,0.00027021,0.0687546,0.3125,0.00027027,0.0666667,0.266667,0.000273224,0.0714286
10,727,10,6.0231,30,20,1,0.920652,346,3,41,2,0.759497,10,0.823875,8,0.836004,2,164,0.3125,0.000268343,0.0668254,0.3125,0.00027027,0.0666667,0.3125,0.00026738,0.0666667
11,784,11,5.99758,30,20,1,0.927587,373,3,45,9,0.752516,6,0.825205,5,0.840329,2.33333,164,0.315809,0.00026921,0.0671429,0.411765,0.00026738,0.0666667,0.3125,0.00026738,0.0666667
12,852,12,5.92317,30,20,1,0.933828,405,3,48,5,0.762761,10,0.8169,5,0.848736,2.03333,164,0.319812,0.000269981,0.0666667,0.411765,0.00026738,0.0666667,0.3125,0.00027027,0.0666667
13,911,13,5.91891,30,20,1,0.939445,433,3,54,6,0.736226,6,0.811746,8,0.858599,2.76667,164,0.33844,0.000269793,0.0668254,0.411765,0.000273224,0.0714286,0.3125,0.00027027,0.0666667
14,980,14,5.87836,30,20,1,0.944501,466,4,59,1,0.72518,6,0.800795,13,0.866513,2.76667,164,0.365074,0.00026912,0.0669841,0.411765,0.000273224,0.0714286,0.3125,0.00027027,0.0666667
15,1046,15,5.836,30,20,1,0.949051,497,4,62,6,0.684972,7,0.792498,7,0.868053,1.66667,164,0.409314,0.000268063,0.067004,0.411765,0.000276243,0.0625,0.375,0.00027027,0.0714286
16,1111,16,5.82822,30,20,1,0.953145,528,4,68,3,0.680303,4,0.791308,13,0.865679,2.53333,164,0.411765,0.000268165,0.0665476,0.411765,0.000276243,0.0625,0.411765,0.00026738,0.0666667
17,1178,17,5.81443,30,20,1,0.956831,560,4,74,2,0.680065,6,0.795179,12,0.863891,3.33333,164,0.411765,0.000268853,0.0662698,0.411765,0.000276243,0.0625,0.411765,0.00026738,0.0666667
18,1248,18,5.83013,30,20,1,0.960148,593,4,76,5,0.686032,8,0.803017,7,0.857779,3.7,164,0.411765,0.000270525,0.0654365,0.411765,0.000276243,0.0625,0.411765,0.00026738,0.0666667
19,1328,19,5.78717,30,20,1,0.963133,630,4,76,3,0.689826,7,0.80907,10,0.856752,2.63333,164,0.411765,0.000273965,0.0643651,0.411765,0.000276243,0.0625,0.411765,0.00026738,0.0666667
20,1390,20,5.78076,30,20,1,0.96582,658,5,84,3,0.690694,7,0.809775,10,0.859292,2.13333,164,0.411765,0.000276142,0.0627976,0.411765,0.000276243,0.0625,0.411765,0.000273224,0.0714286
21,1457,21,5.77768,30,20,1,0.968238,689,6,88,4,0.687044,9,0.809433,7,0.860168,2.9,164,0.411765,0.000276243,0.0625,0.411765,0.000276243,0.0625,0.411765,0.000276243,0.0625
22,1516,22,5.77768,30,20,1,0.970414,716,6,94,7,0.672173,4,0.809588,9,0.860896,3.86667,164,0.411765,0.000276243,0.0625,0.411765,0.000276243,0.0625,0.411765,0.000276243,0.0625
23,1584,23,5.77651,30,20,1,0.972373,747,9,98,2,0.666425,10,0.807783,8,0.86292,4.76667,164,0.411765,0.000276243,0.0626389,0.411765,0.000276243,0.0666667,0.411765,0.000276243,0.0625
24,1658,24,5.77801,30,20,1,0.974135,781,9,101,3,0.658305,8,0.80429,9,0.863343,5.6,164,0.411765,0.000276243,0.0629365,0.411765,0.000276243,0.0714286,0.411765,0.000276243,0.0625
25,1738,25,5.77932,30,20,1,0.975722,819,9,101,2,0.652775,4,0.8051,14,0.864634,5.9,164,0.411765,0.000276243,0.0643101,0.411765,0.000276243,0.0769231,0.411765,0.000276243,0.0625
26,1816,26,5.78439,30,20,1,0.97715,856,9,103,1,0.649926,7,0.807905,12,0.867462,5.53333,164,0.411765,0.000276449,0.0661447,0.411765,0.00027933,0.0714286,0.411765,0.000276243,0.0625
27,1887,27,5.80611,30,20,1,0.978435,890,9,106,3,0.64557,3,0.806348,14,0.867977,4.23333,164,0.411765,0.000276758,0.0687332,0.411765,0.00027933,0.0714286,0.411765,0.000276243,0.0625
28,1962,28,5.80202,30,20,1,0.979591,926,9,108,2,0.643776,4,0.802217,14,0.866328,2.06667,164,0.411765,0.000277169,0.0727595,0.411765,0.00027933,0.0714286,0.411765,0.000276243,0.0666667
29,2038,29,5.84245,30,20,1,0.980632,962,9,111,1,0.644269,8,0.801761,11,0.862429,1.96667,164,0.411765,0.000278198,0.0736264,0.411765,0.00027933,0.0769231,0.411765,0.000276243,0.0769231
30,2110,30,5.86125,30,20,1,0.981569,996,9,116,1,0.644641,3,0.801778,16,0.865621,2,164,0.411765,0.00027933,0.0721612,0.411765,0.00027933,0.0769231,0.411765,0.00027933,0.0714286
31,2170,31,5.90781,30,20,1,0.982412,1023,10,125,3,0.643912,10,0.791808,7,0.866589,2.83333,164,0.411765,0.00027933,0.0728938,0.411765,0.00027933,0.0769231,0.411765,0.00027933,0.0714286
32,2248,32,5.95695,30,20,1,0.983171,1059,10,127,2,0.641112,8,0.793112,10,0.868181,3.03333,164,0.411765,0.00027933,0.0745421,0.411765,0.00027933,0.0769231,0.411765,0.00027933,0.0714286
33,2327,33,5.94967,30,20,1,0.983854,1095,10,129,2,0.636689,8,0.796044,10,0.867491,1.96667,164,0.411765,0.000279435,0.0767399,0.411765,0.000282486,0.0769231,0.411765,0.00027933,0.0714286
34,2390,34,5.94428,30,20,1,0.984468,1124,10,136,4,0.621624,8,0.796089,8,0.867789,2.76667,164,0.411765,0.000279435,0.0769231,0.411765,0.000282486,0.0769231,0.411765,0.00027933,0.0769231
35,2455,35,5.94231,30,20,1,0.985022,1154,11,142,3,0.60949,7,0.795071,10,0.867501,3.63333,164,0.411765,0.000279645,0.0769231,0.411765,0.000282486,0.0769231,0.411765,0.00027933,0.0769231
36,2519,36,5.94874,30,20,1,0.985519,1184,11,150,2,0.601926,9,0.79537,9,0.867206,4.3,164,0.411765,0.000279961,0.0769231,0.411765,0.000282486,0.0769231,0.411765,0.00027933,0.0769231
37,2591,37,5.94875,30,20,1,0.985967,1218,11,155,1,0.598287,8,0.793447,11,0.866546,4.73333,164,0.411765,0.000280382,0.0769231,0.411765,0.000282486,0.0769231,0.411765,0.00027933,0.0769231
38,2667,38,5.96476,30,20,1,0.986371,1254,11,157,2,0.591127,7,0.793167,11,0.866696,3.16667,164,0.411765,0.000281749,0.0769231,0.411765,0.000282486,0.0769231,0.411765,0.00027933,0.0769231
39,2740,39,5.96171,30,20,1,0.986734,1288,11,163,0,0.591127,6,0.794451,14,0.866624,2.23333,164,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231
40,2816,40,5.96171,30,20,1,0.98706,1324,12,165,1,0.587607,8,0.794651,11,0.867456,3.2,164,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231
41,2876,41,5.96171,30,20,1,0.987354,1352,13,175,1,0.584229,9,0.791977,10,0.868767,4.16667,164,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231
42,2953,42,5.96171,30,20,1,0.987619,1388,13,176,3,0.574315,5,0.793237,12,0.866591,5.13333,164,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231
43,3022,43,5.96171,30,20,1,0.987857,1420,16,181,0,0.574315,6,0.795497,14,0.86483,6.1,164,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231
44,3106,44,5.96171,30,20,1,0.988071,1459,16,182,0,0.574315,6,0.795402,14,0.865568,7.06667,164,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231
45,3185,45,5.96781,30,20,1,0.988264,1496,16,185,0,0.574315,7,0.793898,13,0.865784,7.36667,164,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231
46,3261,46,5.97013,30,20,1,0.988438,1531,16,190,0,0.574315,9,0.79158,11,0.867826,7.33333,164,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231
47,3340,47,5.98078,30,20,1,0.988594,1568,16,193,0,0.574315,9,0.791241,11,0.867942,6.96667,164,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231
48,3409,48,5.99991,30,20,1,0.988735,1600,16,200,1,0.571084,8,0.791349,11,0.867156,3.6,164,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231
49,3479,49,6.00644,30,20,1,0.988861,1633,17,204,2,0.564592,3,0.791091,15,0.869091,2.23333,164,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231
50,3549,50,6.00644,30,20,1,0.988975,1666,18,210,0,0.564592,8,0.787366,12,0.869449,3.2,164,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231
51,3614,51,6.00644,30,20,1,0.989077,1696,18,218,2,0.558435,8,0.786337,10,0.87024,4.16667,164,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231
52,3693,52,6.00644,30,20,1,0.98917,1733,18,220,1,0.555422,6,0.785478,13,0.871704,5.13333,164,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231
53,3761,53,6.00644,30,20,1,0.989253,1765,19,224,3,0.546141,8,0.784754,9,0.872349,6.1,164,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231
54,3762,53,6.00644,30,20,1,0.989253,1765,19,224,3,0.546141,8,0.784754,9,0.872349,6.1,164,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231,0.411765,0.000282486,0.0769231
