GEN	CPU	P1_Generation	P1_E	P1_Mu	P1_Lambda	P1_Tau	P1_Sigma	P1_EvalCount	P1_DuplicateCount	P1_CacheCount	P1_OpUse_singleParameterAlterationMutation	P1_MAB_singleParameterAlterationMutation	P1_OpUse_onePointCrossover	P1_MAB_onePointCrossover	P1_OpUse_twoPointCrossover	P1_MAB_twoPointCrossover	P1_AvgAge	P1_AvgIndSize	P1_Avg_f0	P1_Avg_f1	P1_Avg_f2	P1_Best_f0	P1_Best_f1	P1_Best_f2	P1_Worst_f0	P1_Worst_f1	P1_Worst_f2
0	0	0	6,9275	30	30	1	0,9	50	0	0	0	0	0	0	0	0	0	164	0,00857143	1,06964e-05	0,0027619	0,214286	0,00027027	0,0714286	0	0	0
1	192	1	6,82687	30	30	1	0,811	92	0	8	10	0,638204	10	0,459964	10	0,494142	0,966667	164	0,0142857	1,78274e-05	0,00460317	0,214286	0,00027027	0,0714286	0	0	0
2	255	2	6,80834	30	30	1	0,8289	122	0	11	27	0,650092	1	0,478272	2	0,518194	1,86667	164	0,0285714	3,56547e-05	0,00920635	0,214286	0,00027027	0,0714286	0	0	0
3	366	3	6,72828	30	30	1	0,84501	175	1	15	2	0,648662	15	0,637532	13	0,61102	2,5	164	0,0642857	8,03184e-05	0,0207937	0,214286	0,00027027	0,0714286	0	0	0
4	466	4	6,36681	30	30	1	0,859509	223	3	19	6	0,65003	18	0,716167	6	0,661609	2,06667	164	0,161667	0,00020511	0,0530159	0,266667	0,00027027	0,0714286	0	0	0
5	561	5	5,99005	30	30	1	0,872558	268	5	28	4	0,65536	12	0,73268	14	0,713232	1,76667	164	0,219524	0,000269799	0,0707937	0,266667	0,000273224	0,0714286	0,214286	0,00026455	0,0666667
6	662	6	5,84972	30	30	1	0,884302	316	5	31	9	0,67939	8	0,747706	13	0,751408	2,23333	164	0,228254	0,000270664	0,0714286	0,266667	0,000273224	0,0714286	0,214286	0,00027027	0,0714286
7	757	7	5,88683	30	30	1	0,894872	361	5	40	6	0,691132	14	0,766472	10	0,75783	2,6	164	0,242222	0,000270959	0,0714286	0,266667	0,000273224	0,0714286	0,214286	0,00027027	0,0714286
8	864	8	5,93324	30	30	1	0,904385	412	5	46	3	0,696607	5	0,765675	22	0,766717	1,76667	164	0,266667	0,00027155	0,0714286	0,266667	0,000273224	0,0714286	0,266667	0,00027027	0,0714286
9	954	9	5,98466	30	30	1	0,912946	455	6	54	8	0,69878	12	0,762425	10	0,781204	2,23333	164	0,266667	0,000272535	0,0712698	0,266667	0,000273224	0,0714286	0,266667	0,00027027	0,0714286
10	1051	10	6,00415	30	30	1	0,920652	501	6	58	10	0,692303	12	0,761807	8	0,788211	2,2	164	0,266667	0,000273224	0,0714286	0,266667	0,000273224	0,0714286	0,266667	0,000273224	0,0714286
11	1149	11	5,99286	30	30	1	0,927587	548	6	63	8	0,680766	8	0,767873	14	0,796527	3,1	164	0,266667	0,000273425	0,0716117	0,266667	0,000276243	0,0769231	0,266667	0,000273224	0,0714286
12	1260	12	5,99201	30	30	1	0,933828	601	6	66	4	0,67897	10	0,770809	16	0,806207	3,46667	164	0,268194	0,000274438	0,0717949	0,3125	0,000282486	0,0714286	0,266667	0,000273224	0,0714286
13	1367	13	6,0044	30	30	1	0,939445	652	8	67	6	0,690507	8	0,773335	16	0,807986	2,5	164	0,271806	0,00027585	0,0723443	0,375	0,000276243	0,0714286	0,266667	0,000273224	0,0714286
14	1452	14	6,0876	30	30	1	0,944501	692	11	77	7	0,695949	9	0,766233	14	0,813757	1,86667	164	0,276944	0,000276764	0,0741758	0,375	0,000276243	0,0714286	0,266667	0,000276243	0,0714286
15	1549	15	6,11593	30	30	1	0,949051	738	12	85	5	0,696848	9	0,759459	16	0,817674	1,83333	164	0,287222	0,000277389	0,0754579	0,375	0,000276243	0,0714286	0,266667	0,000276243	0,0769231
16	1642	16	6,08954	30	30	1	0,953145	782	15	93	5	0,697805	12	0,761564	13	0,819803	1,6	164	0,310531	0,000279259	0,0738095	0,411765	0,000282486	0,0714286	0,266667	0,00027933	0,0769231
17	1749	17	5,98313	30	30	1	0,956831	833	15	95	7	0,698778	8	0,761312	15	0,825686	1,86667	164	0,354534	0,000277942	0,0714286	0,411765	0,000282486	0,0714286	0,3125	0,000282486	0,0714286
18	1839	18	5,95316	30	30	1	0,960148	876	16	105	6	0,698059	9	0,76219	15	0,826558	1,86667	164	0,382353	0,000276581	0,0714286	0,411765	0,000282486	0,0714286	0,375	0,000273224	0,0714286
19	1943	19	5,78953	30	30	1	0,963133	925	16	111	5	0,698296	9	0,759152	16	0,828293	2,06667	164	0,392157	0,000278946	0,0714286	0,411765	0,000282486	0,0714286	0,375	0,000276243	0,0714286
20	2031	20	5,78709	30	30	1	0,96582	967	18	122	5	0,695513	13	0,755783	12	0,83202	1,56667	164	0,411765	0,000282381	0,0714286	0,411765	0,000282486	0,0714286	0,411765	0,00027933	0,0714286
21	2130	21	5,78689	30	30	1	0,968238	1014	19	129	5	0,689703	6	0,755931	19	0,835275	2,43333	164	0,411765	0,000282486	0,0714286	0,411765	0,000282486	0,0714286	0,411765	0,000282486	0,0714286
22	2234	22	5,78689	30	30	1	0,970414	1064	19	132	7	0,691981	11	0,759673	12	0,836835	3,4	164	0,411765	0,000282486	0,0714286	0,411765	0,000282486	0,0714286	0,411765	0,000282486	0,0714286
23	2327	23	5,78689	30	30	1	0,972373	1108	22	138	7	0,68248	9	0,763643	14	0,838372	4,36667	164	0,411765	0,000282486	0,0714286	0,411765	0,000282486	0,0714286	0,411765	0,000282486	0,0714286
24	2436	24	5,78689	30	30	1	0,974135	1160	24	141	3	0,677941	15	0,764962	12	0,840704	5,33333	164	0,411765	0,000282486	0,0714286	0,411765	0,000282486	0,0714286	0,411765	0,000282486	0,0714286
25	2549	25	5,78689	30	30	1	0,975722	1214	25	143	3	0,676438	11	0,768055	16	0,840789	6,3	164	0,411765	0,000282486	0,0714286	0,411765	0,000282486	0,0714286	0,411765	0,000282486	0,0714286
26	2655	26	5,78719	30	30	1	0,97715	1264	29	146	3	0,675852	9	0,767385	18	0,84484	7,1	164	0,411765	0,000282486	0,0716117	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0714286
27	2752	27	5,82798	30	30	1	0,978435	1310	30	152	7	0,673656	7	0,761079	16	0,846452	7,73333	164	0,411765	0,000282486	0,0716117	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0714286
28	2855	28	5,83185	30	30	1	0,979591	1359	30	159	4	0,667047	9	0,760479	17	0,848826	7,7	164	0,411765	0,000282486	0,071978	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0714286
29	2976	29	5,8328	30	30	1	0,980632	1417	31	160	0	0,667047	4	0,759383	26	0,851131	6,33333	164	0,411765	0,000282486	0,0728938	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0714286
30	3079	30	5,83819	30	30	1	0,981569	1466	32	165	5	0,65357	8	0,756857	17	0,852302	1,63333	164	0,411765	0,000282486	0,0741758	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0714286
31	3172	31	5,76974	30	30	1	0,982412	1510	35	175	3	0,64729	7	0,755663	20	0,854402	1,73333	164	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231
32	3275	32	5,76974	30	30	1	0,983171	1559	37	181	3	0,64393	3	0,754154	24	0,855693	2,7	164	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231
33	3372	33	5,76974	30	30	1	0,983854	1605	40	190	2	0,641795	9	0,753743	19	0,854469	3,66667	164	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231
34	3487	34	5,76974	30	30	1	0,984468	1660	40	194	1	0,640747	6	0,755028	23	0,854296	4,63333	164	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231
35	3589	35	5,76974	30	30	1	0,985022	1708	43	200	3	0,637638	8	0,754598	19	0,856195	5,6	164	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231
36	3701	36	5,76974	30	30	1	0,985519	1760	45	205	1	0,63544	5	0,755608	24	0,855508	6,56667	164	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231
37	3812	37	5,76974	30	30	1	0,985967	1811	48	206	5	0,624966	4	0,755379	21	0,855884	7,53333	164	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231
38	3927	38	5,77387	30	30	1	0,986371	1864	49	209	3	0,622431	12	0,755047	15	0,85584	7,83333	164	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231
39	4044	39	5,7851	30	30	1	0,986734	1919	50	212	1	0,621597	8	0,755802	21	0,856118	7,13333	164	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231
40	4143	40	5,79871	30	30	1	0,98706	1966	51	218	6	0,616306	7	0,755019	17	0,857474	5,76667	164	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231
41	4248	41	5,80229	30	30	1	0,987354	2016	54	222	3	0,610215	6	0,756776	21	0,857931	1,73333	164	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231
42	4353	42	5,80229	30	30	1	0,987619	2066	56	228	2	0,606223	7	0,758691	21	0,85827	2,7	164	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231
43	4467	43	5,80229	30	30	1	0,987857	2119	57	234	0	0,606223	13	0,759616	17	0,858726	3,66667	164	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231
44	4585	44	5,80229	30	30	1	0,988071	2173	58	236	3	0,600115	6	0,758534	21	0,859982	4,63333	164	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231
45	4702	45	5,80229	30	30	1	0,988264	2227	60	239	1	0,598088	12	0,759667	17	0,860107	5,6	164	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231
46	4814	46	5,80229	30	30	1	0,988438	2279	62	244	1	0,596064	10	0,761154	19	0,860724	6,56667	164	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231
47	4815	46	5,80229	30	30	1	0,988438	2279	62	244	1	0,596064	10	0,761154	19	0,860724	6,56667	164	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231	0,411765	0,000282486	0,0769231
